id,name,kind,old,new,reason
63,Colocasia,image_clear,https://upload.wikimedia.org/wikipedia/commons/a/a5/Colocasia_coryli01.jpg,NULL,"flower/moth photo, not colocasia corm"
84,Raw Banana,image_clear,https://upload.wikimedia.org/wikipedia/commons/3/3d/Banana_shake_at_the_Pyongyang_Hotel_Cafe_%281st_floor%29_%2810195085415%29.jpg,NULL,"banana shake, not raw banana"
119,Potato,image_clear,https://upload.wikimedia.org/wikipedia/commons/f/fd/Potato_Pakora_and_Beguni.jpg,NULL,"potato pakora & beguni, not raw potato (reviewer)"
129,Eggplant,image_clear,https://upload.wikimedia.org/wikipedia/commons/1/1e/Eggplant_violet_Jade.svg,NULL,"SVG diagram, not a photo"
136,Bottle Gourd,image_clear,https://upload.wikimedia.org/wikipedia/commons/0/0e/Bottle_gourd_seeds.jpg,NULL,"gourd seeds, not the vegetable"
248,Aloo Pulao,image_clear,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Plum_juice.jpg/640px-Plum_juice.jpg,NULL,"plum juice, URL broken (400) (reviewer)"
269,Reshmi Karahi,image_clear,https://upload.wikimedia.org/wikipedia/commons/5/5d/Chicken_reshmi_kebabs.jpg,NULL,"reshmi kebab photo, not karahi (reviewer)"
335,Mutton Shinwari,image_clear,https://upload.wikimedia.org/wikipedia/commons/2/24/Mutton_chop.jpg,NULL,"mutton chop, not shinwari roast (reviewer)"
372,Chicken Rogan Josh,image_clear,https://upload.wikimedia.org/wikipedia/commons/4/43/Biryani_Rice_with_Goat_Masala_and_Lamb_Rogan_Josh_-_Zam_Zam_%28415375255%29.jpg,NULL,"lamb/goat rogan platter, not chicken (reviewer)"
374,Chicken Yakhni,image_clear,https://upload.wikimedia.org/wikipedia/commons/a/a5/Chicken_Yakhni_Pulao.jpg,NULL,"yakhni pulao, not the broth (reviewer)"
383,Wazwan Meat Dishes,image_clear,https://upload.wikimedia.org/wikipedia/commons/8/89/Cholistani_Camel_Meat_Pulao.JPG,NULL,"cholistani camel meat pulao, not wazwan (reviewer)"
404,Mutton Paye,image_clear,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Paya_curry_bangladeshi_style.jpg/640px-Paya_curry_bangladeshi_style.jpg,NULL,URL broken (400)
408,Korma,image_clear,https://upload.wikimedia.org/wikipedia/commons/e/e2/Navratan_Korma_%28Mughal_Kitchen%29.JPG,NULL,navratan (veg) korma for generic korma (reviewer)
413,Gola Kebab,image_clear,https://upload.wikimedia.org/wikipedia/commons/d/d4/Dryfruit-malai_ice_gola.jpg,NULL,"dryfruit-malai ice gola, not kebab"
416,Bihari Kebab,image_clear,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Chaaps_and_kebabs.jpg/640px-Chaaps_and_kebabs.jpg,NULL,URL broken (400)
422,Bbq Platter,image_clear,https://upload.wikimedia.org/wikipedia/commons/f/fc/Kenyan_BBQ_platter_%2814675389216%29.jpg,NULL,"kenyan BBQ, wrong cuisine"
454,Kesar Kulfi,image_clear,https://upload.wikimedia.org/wikipedia/commons/6/65/Mango_Kesar_Kulfi.jpg,NULL,"mango kulfi, not saffron kulfi"
475,Sandesh,image_clear,https://upload.wikimedia.org/wikipedia/commons/4/47/Sandesh_Jjhingan_2019_AFC_AsianCup.jpg,NULL,"footballer at AFC Asian Cup, not the sweet (reviewer)"
477,Khoa,image_clear,https://upload.wikimedia.org/wikipedia/commons/9/9a/Almond_Khoa_based_burfi_Mumbai_India.jpg,NULL,"almond khoa burfi, not khoa itself"
478,Mawa,image_clear,https://upload.wikimedia.org/wikipedia/commons/9/9a/Mahmoud_Al-Mawas.jpg,NULL,portrait of a person (Al-Mawas) (reviewer)
484,Karadaiyan,image_clear,https://upload.wikimedia.org/wikipedia/commons/5/55/Shankarpali_sweets_mithai_Western_India_2012.jpg,NULL,"shankarpali (western India), not karadaiyan (reviewer)"
591,Kulfi,image_clear,https://upload.wikimedia.org/wikipedia/commons/2/28/Kulfi_Faluda.jpg,NULL,"kulfi falooda with falooda, use plain kulfi (reviewer)"
608,Imarti,image_clear,https://upload.wikimedia.org/wikipedia/commons/c/c0/Paneer_wali_Imarti.jpg,NULL,"paneer wali imarti, not plain imarti (reviewer)"
614,Boondi Laddu,image_clear,https://upload.wikimedia.org/wikipedia/commons/0/03/Boondi_Laddu.JPG,NULL,"matar pulao/boondi raita thali, not laddu"
621,Kesar Lassi,image_clear,https://upload.wikimedia.org/wikipedia/commons/b/b9/Kesar_doodh_or_Saffron_milk_-_a_popular_food_item_of_North_India.It_is_milk_boiled_with_Saffron_and_sugar.This_is_a_street_vendor_in_Gwalior%2C_Madhyapradesh_in_India_selling_Saffron_milk.jpg,NULL,"saffron milk, not lassi (reviewer)"
771,Lemon Tea,image_clear,https://upload.wikimedia.org/wikipedia/commons/e/ef/Iced_lemon_tea.jpg,NULL,"iced lemon tea, not hot lemon tea (reviewer)"
784,Sugarcane Juice,image_clear,https://upload.wikimedia.org/wikipedia/commons/0/0f/Shreyans%2C_the_king_of_Hastinapur_offering_Sugarcane_juice_to_Lord_Rishabhdev.jpg,NULL,"illustration of king, not the drink"
792,Lemon Soda,image_clear,https://upload.wikimedia.org/wikipedia/commons/5/52/7up_lithiated_lemon_soda_bottle_cap.jpg,NULL,"7UP bottle cap, not the drink (reviewer)"
797,Kanji,image_clear,https://upload.wikimedia.org/wikipedia/commons/e/ef/Wa_Kanji.svg,NULL,"Japanese kanji characters SVG, not the desi drink"
